experiment,run_id,mode,latency_ms,drop_rate,offline_rate,stale_skips
latency_response,1,fault_tolerant,0,0.05,0.02,0
latency_response,2,fault_tolerant,0,0.05,0.02,0
latency_response,3,fault_tolerant,0,0.05,0.02,1
latency_response,4,fault_tolerant,0,0.05,0.02,2
latency_response,5,fault_tolerant,0,0.05,0.02,0
latency_response,6,fault_tolerant,0,0.05,0.02,0
latency_response,7,fault_tolerant,0,0.05,0.02,0
latency_response,8,fault_tolerant,0,0.05,0.02,0
latency_response,9,fault_tolerant,100,0.05,0.02,0
latency_response,10,fault_tolerant,100,0.05,0.02,0
latency_response,11,fault_tolerant,100,0.05,0.02,0
latency_response,12,fault_tolerant,100,0.05,0.02,2
latency_response,13,fault_tolerant,100,0.05,0.02,0
latency_response,14,fault_tolerant,100,0.05,0.02,0
latency_response,15,fault_tolerant,100,0.05,0.02,3
latency_response,16,fault_tolerant,100,0.05,0.02,1
latency_response,17,fault_tolerant,200,0.05,0.02,0
latency_response,18,fault_tolerant,200,0.05,0.02,0
latency_response,19,fault_tolerant,200,0.05,0.02,0
latency_response,20,fault_tolerant,200,0.05,0.02,0
latency_response,21,fault_tolerant,200,0.05,0.02,0
latency_response,22,fault_tolerant,200,0.05,0.02,0
latency_response,23,fault_tolerant,200,0.05,0.02,0
latency_response,24,fault_tolerant,200,0.05,0.02,0
latency_response,25,fault_tolerant,500,0.05,0.02,0
latency_response,26,fault_tolerant,500,0.05,0.02,1
latency_response,27,fault_tolerant,500,0.05,0.02,0
latency_response,28,fault_tolerant,500,0.05,0.02,0
latency_response,29,fault_tolerant,500,0.05,0.02,0
latency_response,30,fault_tolerant,500,0.05,0.02,2
latency_response,31,fault_tolerant,500,0.05,0.02,0
latency_response,32,fault_tolerant,500,0.05,0.02,0
latency_response,33,fault_tolerant,800,0.05,0.02,0
latency_response,34,fault_tolerant,800,0.05,0.02,1
latency_response,35,fault_tolerant,800,0.05,0.02,0
latency_response,36,fault_tolerant,800,0.05,0.02,0
latency_response,37,fault_tolerant,800,0.05,0.02,0
latency_response,38,fault_tolerant,800,0.05,0.02,2
latency_response,39,fault_tolerant,800,0.05,0.02,0
latency_response,40,fault_tolerant,800,0.05,0.02,0
drop_success,41,fault_tolerant,200,0.0,0.02,0
drop_success,42,fault_tolerant,200,0.0,0.02,0
drop_success,43,fault_tolerant,200,0.0,0.02,0
drop_success,44,fault_tolerant,200,0.0,0.02,0
drop_success,45,fault_tolerant,200,0.0,0.02,0
drop_success,46,fault_tolerant,200,0.0,0.02,0
drop_success,47,fault_tolerant,200,0.0,0.02,0
drop_success,48,fault_tolerant,200,0.0,0.02,0
drop_success,49,fault_tolerant,200,0.05,0.02,0
drop_success,50,fault_tolerant,200,0.05,0.02,0
drop_success,51,fault_tolerant,200,0.05,0.02,0
drop_success,52,fault_tolerant,200,0.05,0.02,1
drop_success,53,fault_tolerant,200,0.05,0.02,0
drop_success,54,fault_tolerant,200,0.05,0.02,0
drop_success,55,fault_tolerant,200,0.05,0.02,3
drop_success,56,fault_tolerant,200,0.05,0.02,0
drop_success,57,fault_tolerant,200,0.1,0.02,0
drop_success,58,fault_tolerant,200,0.1,0.02,0
drop_success,59,fault_tolerant,200,0.1,0.02,0
drop_success,60,fault_tolerant,200,0.1,0.02,6
drop_success,61,fault_tolerant,200,0.1,0.02,1
drop_success,62,fault_tolerant,200,0.1,0.02,0
drop_success,63,fault_tolerant,200,0.1,0.02,0
drop_success,64,fault_tolerant,200,0.1,0.02,0
drop_success,65,fault_tolerant,200,0.2,0.02,11
drop_success,66,fault_tolerant,200,0.2,0.02,42
drop_success,67,fault_tolerant,200,0.2,0.02,19
drop_success,68,fault_tolerant,200,0.2,0.02,31
drop_success,69,fault_tolerant,200,0.2,0.02,21
drop_success,70,fault_tolerant,200,0.2,0.02,4
drop_success,71,fault_tolerant,200,0.2,0.02,16
drop_success,72,fault_tolerant,200,0.2,0.02,22
drop_success,73,fault_tolerant,200,0.3,0.02,41
drop_success,74,fault_tolerant,200,0.3,0.02,59
drop_success,75,fault_tolerant,200,0.3,0.02,65
drop_success,76,fault_tolerant,200,0.3,0.02,62
drop_success,77,fault_tolerant,200,0.3,0.02,54
drop_success,78,fault_tolerant,200,0.3,0.02,54
drop_success,79,fault_tolerant,200,0.3,0.02,44
drop_success,80,fault_tolerant,200,0.3,0.02,59
drop_success,81,fault_tolerant,200,0.4,0.02,125
drop_success,82,fault_tolerant,200,0.4,0.02,187
drop_success,83,fault_tolerant,200,0.4,0.02,149
drop_success,84,fault_tolerant,200,0.4,0.02,216
drop_success,85,fault_tolerant,200,0.4,0.02,129
drop_success,86,fault_tolerant,200,0.4,0.02,128
drop_success,87,fault_tolerant,200,0.4,0.02,140
drop_success,88,fault_tolerant,200,0.4,0.02,115
mode_comparison,89,fifo_rule,300,0.15,0.08,0
mode_comparison,90,fifo_rule,300,0.15,0.08,0
mode_comparison,91,fifo_rule,300,0.15,0.08,0
mode_comparison,92,fifo_rule,300,0.15,0.08,0
mode_comparison,93,fifo_rule,300,0.15,0.08,0
mode_comparison,94,fifo_rule,300,0.15,0.08,0
mode_comparison,95,fifo_rule,300,0.15,0.08,0
mode_comparison,96,fifo_rule,300,0.15,0.08,0
mode_comparison,97,fifo_rule,300,0.15,0.08,0
mode_comparison,98,fifo_rule,300,0.15,0.08,0
mode_comparison,99,priority,300,0.15,0.08,0
mode_comparison,100,priority,300,0.15,0.08,0
mode_comparison,101,priority,300,0.15,0.08,0
mode_comparison,102,priority,300,0.15,0.08,0
mode_comparison,103,priority,300,0.15,0.08,0
mode_comparison,104,priority,300,0.15,0.08,0
mode_comparison,105,priority,300,0.15,0.08,0
mode_comparison,106,priority,300,0.15,0.08,0
mode_comparison,107,priority,300,0.15,0.08,0
mode_comparison,108,priority,300,0.15,0.08,0
mode_comparison,109,fault_tolerant,300,0.15,0.08,14
mode_comparison,110,fault_tolerant,300,0.15,0.08,4
mode_comparison,111,fault_tolerant,300,0.15,0.08,7
mode_comparison,112,fault_tolerant,300,0.15,0.08,17
mode_comparison,113,fault_tolerant,300,0.15,0.08,5
mode_comparison,114,fault_tolerant,300,0.15,0.08,5
mode_comparison,115,fault_tolerant,300,0.15,0.08,6
mode_comparison,116,fault_tolerant,300,0.15,0.08,3
mode_comparison,117,fault_tolerant,300,0.15,0.08,5
mode_comparison,118,fault_tolerant,300,0.15,0.08,7
alarm_reliability,119,fifo_rule,350,0.2,0.1,0
alarm_reliability,120,fifo_rule,350,0.2,0.1,0
alarm_reliability,121,fifo_rule,350,0.2,0.1,0
alarm_reliability,122,fifo_rule,350,0.2,0.1,0
alarm_reliability,123,fifo_rule,350,0.2,0.1,0
alarm_reliability,124,fifo_rule,350,0.2,0.1,0
alarm_reliability,125,fifo_rule,350,0.2,0.1,0
alarm_reliability,126,fifo_rule,350,0.2,0.1,0
alarm_reliability,127,fifo_rule,350,0.2,0.1,0
alarm_reliability,128,fifo_rule,350,0.2,0.1,0
alarm_reliability,129,priority,350,0.2,0.1,0
alarm_reliability,130,priority,350,0.2,0.1,0
alarm_reliability,131,priority,350,0.2,0.1,0
alarm_reliability,132,priority,350,0.2,0.1,0
alarm_reliability,133,priority,350,0.2,0.1,0
alarm_reliability,134,priority,350,0.2,0.1,0
alarm_reliability,135,priority,350,0.2,0.1,0
alarm_reliability,136,priority,350,0.2,0.1,0
alarm_reliability,137,priority,350,0.2,0.1,0
alarm_reliability,138,priority,350,0.2,0.1,0
alarm_reliability,139,fault_tolerant,350,0.2,0.1,24
alarm_reliability,140,fault_tolerant,350,0.2,0.1,12
alarm_reliability,141,fault_tolerant,350,0.2,0.1,24
alarm_reliability,142,fault_tolerant,350,0.2,0.1,15
alarm_reliability,143,fault_tolerant,350,0.2,0.1,8
alarm_reliability,144,fault_tolerant,350,0.2,0.1,16
alarm_reliability,145,fault_tolerant,350,0.2,0.1,20
alarm_reliability,146,fault_tolerant,350,0.2,0.1,35
alarm_reliability,147,fault_tolerant,350,0.2,0.1,12
alarm_reliability,148,fault_tolerant,350,0.2,0.1,15
ablation,149,fifo_rule,350,0.2,0.1,0
ablation,150,fifo_rule,350,0.2,0.1,0
ablation,151,fifo_rule,350,0.2,0.1,0
ablation,152,fifo_rule,350,0.2,0.1,0
ablation,153,fifo_rule,350,0.2,0.1,0
ablation,154,fifo_rule,350,0.2,0.1,0
ablation,155,fifo_rule,350,0.2,0.1,0
ablation,156,fifo_rule,350,0.2,0.1,0
ablation,157,fifo_rule,350,0.2,0.1,0
ablation,158,fifo_rule,350,0.2,0.1,0
ablation,159,priority,350,0.2,0.1,0
ablation,160,priority,350,0.2,0.1,0
ablation,161,priority,350,0.2,0.1,0
ablation,162,priority,350,0.2,0.1,0
ablation,163,priority,350,0.2,0.1,0
ablation,164,priority,350,0.2,0.1,0
ablation,165,priority,350,0.2,0.1,0
ablation,166,priority,350,0.2,0.1,0
ablation,167,priority,350,0.2,0.1,0
ablation,168,priority,350,0.2,0.1,0
ablation,169,priority_stale,350,0.2,0.1,18
ablation,170,priority_stale,350,0.2,0.1,13
ablation,171,priority_stale,350,0.2,0.1,28
ablation,172,priority_stale,350,0.2,0.1,15
ablation,173,priority_stale,350,0.2,0.1,20
ablation,174,priority_stale,350,0.2,0.1,32
ablation,175,priority_stale,350,0.2,0.1,27
ablation,176,priority_stale,350,0.2,0.1,30
ablation,177,priority_stale,350,0.2,0.1,21
ablation,178,priority_stale,350,0.2,0.1,35
ablation,179,priority_retry,350,0.2,0.1,0
ablation,180,priority_retry,350,0.2,0.1,0
ablation,181,priority_retry,350,0.2,0.1,0
ablation,182,priority_retry,350,0.2,0.1,0
ablation,183,priority_retry,350,0.2,0.1,0
ablation,184,priority_retry,350,0.2,0.1,0
ablation,185,priority_retry,350,0.2,0.1,0
ablation,186,priority_retry,350,0.2,0.1,0
ablation,187,priority_retry,350,0.2,0.1,0
ablation,188,priority_retry,350,0.2,0.1,0
ablation,189,fault_tolerant,350,0.2,0.1,30
ablation,190,fault_tolerant,350,0.2,0.1,31
ablation,191,fault_tolerant,350,0.2,0.1,30
ablation,192,fault_tolerant,350,0.2,0.1,37
ablation,193,fault_tolerant,350,0.2,0.1,17
ablation,194,fault_tolerant,350,0.2,0.1,29
ablation,195,fault_tolerant,350,0.2,0.1,29
ablation,196,fault_tolerant,350,0.2,0.1,29
ablation,197,fault_tolerant,350,0.2,0.1,11
ablation,198,fault_tolerant,350,0.2,0.1,34
